Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,252155105281,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,6595278,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,2655750,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,9081815,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,3608941,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,4478544,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,8311730,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,1684110,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,10368884,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,124744011,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,67771461,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,3267683,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,140680796,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,546530885,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,5230342,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,1809420,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,1031543916,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,342441,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,181446,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,1975877,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,983440,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,3151062,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,689902980,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,198150,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,98775393,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,109276,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,46823393,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,92385417,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,112098197,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,62635,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,339921,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,26887244,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,1414957,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,1044368955,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,3272,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,199649,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,2440,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,190652349,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,2352953,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,339719900,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,87311419328,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,162,Christmas Isds,CXR,TOTAL,All Commodities,1,No Quantity,,,47744172,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,6465242,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,36842232,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,85520,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,4386984,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,19317317,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,5876850,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,3020589,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,1135122,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,2653683,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,2662915,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,108004807,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,1535065,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,98085779,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,132539,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,6744893,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,11657365,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,222,El Salvador,SLV,TOTAL,All Commodities,1,No Quantity,,,19065090,0
H4,2013,2013,2013,0,0,2,Export,36,Australia,AUS,226,Equatorial Guinea,GNQ,TOTAL,All Commodities,1,No Quantity,,,76904,0
