Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,232481271344,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,1026371,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,619669,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,315873,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,78875423,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,7751727,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,32726257,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,12713,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,276038083,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,783934890,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1051153630,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,867992533,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,5456864,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,72889862,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,447817447,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,538641,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,3871736,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,1621000702,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,20882992,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,523516,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,21964479,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,3507266,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,650933,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,544737646,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,2876901,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,86,Br. Indian Ocean Terr.,IOT,TOTAL,All Commodities,1,No Quantity,,,8509,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,90004334,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,4851848,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,825541259,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,42742339,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,20493987,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,197522,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,5103619,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,76640299,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,566879,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,1921262380,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,146337,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,661461,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,11727,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,146831604,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,967634910,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,44861052377,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,162,Christmas Isds,CXR,TOTAL,All Commodities,1,No Quantity,,,2430821,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,242660,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,51382976,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,209205,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,910259393,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,2630734,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,397032,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,129927348,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,23324536,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,7310301,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,16627804,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,614607899,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,1525,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,1054229753,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,263623,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,27663983,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,19497122,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,222,El Salvador,SLV,TOTAL,All Commodities,1,No Quantity,,,8900159,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,226,Equatorial Guinea,GNQ,TOTAL,All Commodities,1,No Quantity,,,29385584,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,231,Ethiopia,ETH,TOTAL,All Commodities,1,No Quantity,,,13780670,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,233,Estonia,EST,TOTAL,All Commodities,1,No Quantity,,,43820786,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,238,Falkland Isds (Malvinas),FLK,TOTAL,All Commodities,1,No Quantity,,,48299,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,242,Fiji,FJI,TOTAL,All Commodities,1,No Quantity,,,155778346,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,246,Finland,FIN,TOTAL,All Commodities,1,No Quantity,,,784787192,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,251,France,FRA,TOTAL,All Commodities,1,No Quantity,,,3843813258,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,258,French Polynesia,PYF,TOTAL,All Commodities,1,No Quantity,,,1699351,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,262,Djibouti,DJI,TOTAL,All Commodities,1,No Quantity,,,386029,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,266,Gabon,GAB,TOTAL,All Commodities,1,No Quantity,,,942566553,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,268,Georgia,GEO,TOTAL,All Commodities,1,No Quantity,,,2692428,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,270,Gambia,GMB,TOTAL,All Commodities,1,No Quantity,,,53318,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,276,Germany,DEU,TOTAL,All Commodities,1,No Quantity,,,10937428846,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,288,Ghana,GHA,TOTAL,All Commodities,1,No Quantity,,,6007635,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,296,Kiribati,KIR,TOTAL,All Commodities,1,No Quantity,,,161111,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,300,Greece,GRC,TOTAL,All Commodities,1,No Quantity,,,164003413,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,308,Grenada,GRD,TOTAL,All Commodities,1,No Quantity,,,64931,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,316,Guam,GUM,TOTAL,All Commodities,1,No Quantity,,,80606,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,320,Guatemala,GTM,TOTAL,All Commodities,1,No Quantity,,,11705604,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,324,Guinea,GIN,TOTAL,All Commodities,1,No Quantity,,,362457,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,328,Guyana,GUY,TOTAL,All Commodities,1,No Quantity,,,424206,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,332,Haiti,HTI,TOTAL,All Commodities,1,No Quantity,,,1660950,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,340,Honduras,HND,TOTAL,All Commodities,1,No Quantity,,,31522318,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,344,"China, Hong Kong SAR",HKG,TOTAL,All Commodities,1,No Quantity,,,1173728586,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,348,Hungary,HUN,TOTAL,All Commodities,1,No Quantity,,,294617260,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,352,Iceland,ISL,TOTAL,All Commodities,1,No Quantity,,,11601229,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,360,Indonesia,IDN,TOTAL,All Commodities,1,No Quantity,,,5720872316,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,364,Iran,IRN,TOTAL,All Commodities,1,No Quantity,,,23208099,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,368,Iraq,IRQ,TOTAL,All Commodities,1,No Quantity,,,7647,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,372,Ireland,IRL,TOTAL,All Commodities,1,No Quantity,,,1463797256,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,376,Israel,ISR,TOTAL,All Commodities,1,No Quantity,,,657176569,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,381,Italy,ITA,TOTAL,All Commodities,1,No Quantity,,,5536386463,0
