Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,242178053784,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,12468229,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,54036361,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,1199884789,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,106593,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,14649,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1271245128,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,5855729,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,150752575,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,19615414342,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,450785872,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,138569379,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,165786039,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,258411271,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,856632860,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,35599398,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,16038090,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,3593811016,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,855090,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,1534329803,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,1800600,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,994226,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,4724701,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,49502,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,21221369,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,2153325,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,218585870,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,12798920,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,175462,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,13477317,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,3276260,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,105961501,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,2701746158,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,22115219,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,21423413,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,1911288,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,90610443,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,1351939,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,4483782976,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,46026153046,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,970,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,2703098276,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,1063732,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,86623115,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,72585871,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,157583,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,302313860,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,180704899,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,528172441,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,12988871,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,60449395,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,164452103,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,471974074,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,3980199,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,463386655,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,820245195,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,222,El Salvador,SLV,TOTAL,All Commodities,1,No Quantity,,,130617510,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,226,Equatorial Guinea,GNQ,TOTAL,All Commodities,1,No Quantity,,,62743672,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,231,Ethiopia,ETH,TOTAL,All Commodities,1,No Quantity,,,62749650,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,232,Eritrea,ERI,TOTAL,All Commodities,1,No Quantity,,,9509698,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,233,Estonia,EST,TOTAL,All Commodities,1,No Quantity,,,41455292,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,234,Faeroe Isds,FRO,TOTAL,All Commodities,1,No Quantity,,,91666,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,242,Fiji,FJI,TOTAL,All Commodities,1,No Quantity,,,1011809,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,246,Finland,FIN,TOTAL,All Commodities,1,No Quantity,,,451009276,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,251,France,FRA,TOTAL,All Commodities,1,No Quantity,,,3423353897,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,258,French Polynesia,PYF,TOTAL,All Commodities,1,No Quantity,,,1154043,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,262,Djibouti,DJI,TOTAL,All Commodities,1,No Quantity,,,7955455,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,266,Gabon,GAB,TOTAL,All Commodities,1,No Quantity,,,47637673,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,268,Georgia,GEO,TOTAL,All Commodities,1,No Quantity,,,256706736,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,270,Gambia,GMB,TOTAL,All Commodities,1,No Quantity,,,83756166,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,275,State of Palestine,PSE,TOTAL,All Commodities,1,No Quantity,,,27014225,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,276,Germany,DEU,TOTAL,All Commodities,1,No Quantity,,,6551654000,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,288,Ghana,GHA,TOTAL,All Commodities,1,No Quantity,,,296071685,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,292,Gibraltar,GIB,TOTAL,All Commodities,1,No Quantity,,,28540,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,296,Kiribati,KIR,TOTAL,All Commodities,1,No Quantity,,,245692,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,300,Greece,GRC,TOTAL,All Commodities,1,No Quantity,,,151399090,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,304,Greenland,GRL,TOTAL,All Commodities,1,No Quantity,,,299,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,308,Grenada,GRD,TOTAL,All Commodities,1,No Quantity,,,7783383,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,316,Guam,GUM,TOTAL,All Commodities,1,No Quantity,,,225516,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,320,Guatemala,GTM,TOTAL,All Commodities,1,No Quantity,,,245639206,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,324,Guinea,GIN,TOTAL,All Commodities,1,No Quantity,,,44521924,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,328,Guyana,GUY,TOTAL,All Commodities,1,No Quantity,,,30015249,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,332,Haiti,HTI,TOTAL,All Commodities,1,No Quantity,,,51836025,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,340,Honduras,HND,TOTAL,All Commodities,1,No Quantity,,,83210935,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,344,"China, Hong Kong SAR",HKG,TOTAL,All Commodities,1,No Quantity,,,3339236725,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,348,Hungary,HUN,TOTAL,All Commodities,1,No Quantity,,,145836440,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,352,Iceland,ISL,TOTAL,All Commodities,1,No Quantity,,,325654168,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,360,Indonesia,IDN,TOTAL,All Commodities,1,No Quantity,,,1999021370,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,364,Iran,IRN,TOTAL,All Commodities,1,No Quantity,,,1609136604,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,368,Iraq,IRQ,TOTAL,All Commodities,1,No Quantity,,,280834147,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,372,Ireland,IRL,TOTAL,All Commodities,1,No Quantity,,,610937181,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,376,Israel,ISR,TOTAL,All Commodities,1,No Quantity,,,454750209,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,381,Italy,ITA,TOTAL,All Commodities,1,No Quantity,,,4098022680,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,384,Côte d'Ivoire,CIV,TOTAL,All Commodities,1,No Quantity,,,65033941,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,388,Jamaica,JAM,TOTAL,All Commodities,1,No Quantity,,,123990182,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,392,Japan,JPN,TOTAL,All Commodities,1,No Quantity,,,7964030522,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,398,Kazakhstan,KAZ,TOTAL,All Commodities,1,No Quantity,,,109637016,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,400,Jordan,JOR,TOTAL,All Commodities,1,No Quantity,,,291779051,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,404,Kenya,KEN,TOTAL,All Commodities,1,No Quantity,,,242455519,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,408,Dem. People's Rep. of Korea,PRK,TOTAL,All Commodities,1,No Quantity,,,16459212,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,410,Rep. of Korea,KOR,TOTAL,All Commodities,1,No Quantity,,,4719969854,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,414,Kuwait,KWT,TOTAL,All Commodities,1,No Quantity,,,306228671,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,417,Kyrgyzstan,KGZ,TOTAL,All Commodities,1,No Quantity,,,10284097,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,418,Lao People's Dem. Rep.,LAO,TOTAL,All Commodities,1,No Quantity,,,379091,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,422,Lebanon,LBN,TOTAL,All Commodities,1,No Quantity,,,338447719,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,426,Lesotho,LSO,TOTAL,All Commodities,1,No Quantity,,,54349,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,428,Latvia,LVA,TOTAL,All Commodities,1,No Quantity,,,20960115,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,430,Liberia,LBR,TOTAL,All Commodities,1,No Quantity,,,27426246,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,434,Libya,LBY,TOTAL,All Commodities,1,No Quantity,,,501481477,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,440,Lithuania,LTU,TOTAL,All Commodities,1,No Quantity,,,114827266,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,442,Luxembourg,LUX,TOTAL,All Commodities,1,No Quantity,,,31778589,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,446,"China, Macao SAR",MAC,TOTAL,All Commodities,1,No Quantity,,,6310457,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,450,Madagascar,MDG,TOTAL,All Commodities,1,No Quantity,,,18240450,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,454,Malawi,MWI,TOTAL,All Commodities,1,No Quantity,,,8050389,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,458,Malaysia,MYS,TOTAL,All Commodities,1,No Quantity,,,1372307373,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,462,Maldives,MDV,TOTAL,All Commodities,1,No Quantity,,,16909949,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,466,Mali,MLI,TOTAL,All Commodities,1,No Quantity,,,4827912,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,470,Malta,MLT,TOTAL,All Commodities,1,No Quantity,,,20866983,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,478,Mauritania,MRT,TOTAL,All Commodities,1,No Quantity,,,180196258,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,480,Mauritius,MUS,TOTAL,All Commodities,1,No Quantity,,,25215783,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,484,Mexico,MEX,TOTAL,All Commodities,1,No Quantity,,,4230300972,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,490,"Other Asia, nes",,TOTAL,All Commodities,1,No Quantity,,,2306367477,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,496,Mongolia,MNG,TOTAL,All Commodities,1,No Quantity,,,814389,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,498,Rep. of Moldova,MDA,TOTAL,All Commodities,1,No Quantity,,,37777844,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,499,Montenegro,MNE,TOTAL,All Commodities,1,No Quantity,,,26725640,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,500,Montserrat,MSR,TOTAL,All Commodities,1,No Quantity,,,61740,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,504,Morocco,MAR,TOTAL,All Commodities,1,No Quantity,,,689129664,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,508,Mozambique,MOZ,TOTAL,All Commodities,1,No Quantity,,,123851994,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,512,Oman,OMN,TOTAL,All Commodities,1,No Quantity,,,1106663169,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,516,Namibia,NAM,TOTAL,All Commodities,1,No Quantity,,,23913195,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,524,Nepal,NPL,TOTAL,All Commodities,1,No Quantity,,,289591,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,528,Netherlands,NLD,TOTAL,All Commodities,1,No Quantity,,,17325879802,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,531,Curaçao,CUW,TOTAL,All Commodities,1,No Quantity,,,913977576,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,533,Aruba,ABW,TOTAL,All Commodities,1,No Quantity,,,16741364,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,540,New Caledonia,NCL,TOTAL,All Commodities,1,No Quantity,,,6086483,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,548,Vanuatu,VUT,TOTAL,All Commodities,1,No Quantity,,,145761,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,554,New Zealand,NZL,TOTAL,All Commodities,1,No Quantity,,,74067483,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,558,Nicaragua,NIC,TOTAL,All Commodities,1,No Quantity,,,104986526,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,562,Niger,NER,TOTAL,All Commodities,1,No Quantity,,,1228270,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,566,Nigeria,NGA,TOTAL,All Commodities,1,No Quantity,,,875905714,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,570,Niue,NIU,TOTAL,All Commodities,1,No Quantity,,,478350,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,574,Norfolk Isds,NFK,TOTAL,All Commodities,1,No Quantity,,,18433,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,579,Norway,NOR,TOTAL,All Commodities,1,No Quantity,,,732059741,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,581,United States Minor Outlying Islands,UMI,TOTAL,All Commodities,1,No Quantity,,,124104,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,583,FS Micronesia,FSM,TOTAL,All Commodities,1,No Quantity,,,72860,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,584,Marshall Isds,MHL,TOTAL,All Commodities,1,No Quantity,,,1921234,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,585,Palau,PLW,TOTAL,All Commodities,1,No Quantity,,,410,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,586,Pakistan,PAK,TOTAL,All Commodities,1,No Quantity,,,147607639,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,591,Panama,PAN,TOTAL,All Commodities,1,No Quantity,,,4423186786,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,598,Papua New Guinea,PNG,TOTAL,All Commodities,1,No Quantity,,,7016363,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,600,Paraguay,PRY,TOTAL,All Commodities,1,No Quantity,,,2996609209,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,604,Peru,PER,TOTAL,All Commodities,1,No Quantity,,,2147240831,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,608,Philippines,PHL,TOTAL,All Commodities,1,No Quantity,,,880383563,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,612,Pitcairn,PCN,TOTAL,All Commodities,1,No Quantity,,,15607,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,616,Poland,POL,TOTAL,All Commodities,1,No Quantity,,,395881834,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,620,Portugal,PRT,TOTAL,All Commodities,1,No Quantity,,,854401614,0
H4,2013,2013,2013,0,0,2,Export,76,Brazil,BRA,624,Guinea-Bissau,GNB,TOTAL,All Commodities,1,No Quantity,,,4902126,0
