Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,239620904905,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,243320,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,2374654,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,3074831811,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,758,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,1286250,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,726835843,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,190898,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,291068,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,16462929322,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1163275142,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,1388282159,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,1192909,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,53482361,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,199094355,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,116302,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,730552,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,2010122651,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,44747,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,53122,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,3937743692,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,2462577,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,11152,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,158388,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,409,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,4688496,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,431771,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,32929396,0
