Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,456395278173,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,39282983,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,35773302,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,1544650,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,362029327,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,1115465,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,25507,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,79647013,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,15537189,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,30776126,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,275220096,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1619209561,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,404704810,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,187546098,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,37492875,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,642052241,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,14065992,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,147246904,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,2403107131,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,38709827,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,210320,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,25629682,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,1794716,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,268216634,0
H4,2013,2013,2013,0,0,2,Export,124,Canada,CAN,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,2401034018,0
