Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,461799508840,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,1963528,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,6186385,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,250158,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,3253267550,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,149563,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,328975,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1507322782,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,605447,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,451817762,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,1797823277,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1742620098,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,1435795222,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,42534617,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,53279460,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,1156250798,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,86545268,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,18177928,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,1764996774,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,1096471,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,193691,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,226523316,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,15053975,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,7626520,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,74,Bouvet Island,BVT,TOTAL,All Commodities,1,No Quantity,,,99,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,3521081462,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,2432984,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,86,Br. Indian Ocean Terr.,IOT,TOTAL,All Commodities,1,No Quantity,,,235907,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,379519,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,27441323,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,6379805,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,166410075,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,8255310,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,242564,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,34172485,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,677540195,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,8718779,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,3332477431,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,47416,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,175481,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,884083,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,199751842,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,261076,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,1702026407,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,51206246148,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,162,Christmas Isds,CXR,TOTAL,All Commodities,1,No Quantity,,,138096,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,32113,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,671310770,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,262282,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,2672527,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,3677614,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,131311,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,573756875,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,96974603,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,483539579,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,3702031,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,434089121,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,36262,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,974638270,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,1119683,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,1194674531,0
