Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2209007280259,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,328258809,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,324596499,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,6023897368,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,2244495,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,3964058933,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,245481822,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,868568350,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,8750429703,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,37554163210,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,2037526821,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,336710225,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,1238929155,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,9705086684,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,119849623,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,70210206,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,15560178349,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,190035365,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,17405171,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,531469417,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,91328214,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,148251952,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,35895471244,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,122364730,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,36801886,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,11068441,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,1703776234,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,1116984160,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,7338688821,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,50962328,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,872159994,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,3409507478,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,1514678715,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,29216715384,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,61996094,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,11188716,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,9458993,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,3436548807,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,371892564,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,13105469078,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,6826036756,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,29860120,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,175,Mayotte,MYT,TOTAL,All Commodities,1,No Quantity,,,77714691,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,779293422,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,948752351,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,19479545,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,926976817,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,1389942736,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,1374786013,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,971729662,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,6837794906,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,2992476675,0
H4,2013,2013,2013,0,0,2,Export,156,China,CHN,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,5711397331,0
