Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1949992314705,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,9595295,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,234840915,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,2164546739,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,14788,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,31972669347,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,338650,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,233583286,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,6085768453,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,98954088026,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,5030350258,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,76523,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,305180622,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,602366367,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,73138531,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,12687985,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,9848071432,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,424,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,8568,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,275774273,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,20880328,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,193857600,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,54299122653,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,8385110,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,404520624,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,87517,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,89803505,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,956742907,0
