Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,566879046556,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,32625837,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,49186365,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,4118721,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,7849174099,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,1208491,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,272148377,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,612822642,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,97450279,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,353694510,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,1644220055,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,3680335121,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,4767264109,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,49255975,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,184108708,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,177122445,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,50210831,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,26417221,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,43594691740,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,5562186,0
H4,2013,2013,2013,0,0,2,Export,251,France,FRA,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,638592,0
