Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,668658052796,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,8347426,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,114100831,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,1467690,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,5625157156,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,953806,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,2187633,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1226086777,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,864359,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,2242785999,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,613624158,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1387905139,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,7112523643,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,20035568,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,378443842,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,2084541475,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,16327662,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,12873503,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,52359587154,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,33759,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,1293056,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,110459964,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,99806561,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,211662,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,74,Bouvet Island,BVT,TOTAL,All Commodities,1,No Quantity,,,26289,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,4472965010,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,2531087,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,86,Br. Indian Ocean Terr.,IOT,TOTAL,All Commodities,1,No Quantity,,,17794,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,729325,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,15165402,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,1644599,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,1276737759,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,38934793,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,5842285,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,143368842,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,393502654,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,302458585,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,4363252032,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,456078,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,26507784,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,4908942,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,314684346,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,51208224,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,1451152265,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,53843066186,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,162,Christmas Isds,CXR,TOTAL,All Commodities,1,No Quantity,,,16785,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,19110,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,702058344,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,7611822,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,175,Mayotte,MYT,TOTAL,All Commodities,1,No Quantity,,,7813638,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,563945661,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,19021312,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,1068084,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,261391028,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,160895111,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,44194188,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,43175535,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,7386249580,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,5281836,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,3179738761,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,3872779,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,144223633,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,434688269,0
