Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,715097244251,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,62577808,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,1770755,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,592725675,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,3117545,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,365435,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,287431607,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,9197516,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,95631376,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,1111731453,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,16969964159,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,925361202,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,585470098,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,762003489,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,873587397,0
H4,2013,2013,2013,0,0,2,Export,392,Japan,JPN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,10827950,0
