Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,833166060724,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,538886,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,3917847,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,899690443,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,8684,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,268300,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,385639333,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,87031,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,1035400,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,1848412300,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,51026036092,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,1728129040,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,73397868,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,396408920,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,891864150,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,3379997,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,151979,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,2485461043,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,7720,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,2156048,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,341737403,0
H4,2013,2013,2013,0,0,1,Import,392,Japan,JPN,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,5435491,0
