Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,95224782633,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,31775567,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,138122,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,6120837,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,370928695,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,181342,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,1152,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1004188580,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,2568265,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,14951835,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,255233294,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,811296613,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,83904539,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,2480597,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,32544284,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,41790822,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,2178870,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,2294965,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,1965841473,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,667249,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,554907,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,4602431694,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,656898665,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,990903,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,86,Br. Indian Ocean Terr.,IOT,TOTAL,All Commodities,1,No Quantity,,,1,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,320559,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,22717344,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,2104630,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,31544368,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,999476,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,5120427,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,268649,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,1451230,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,67357675,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,312927500,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,762237,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,420190,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,3436292,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,29603758,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,2924263,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,78839044,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,12058975478,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,674,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,34282357,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,6230339,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,175,Mayotte,MYT,TOTAL,All Commodities,1,No Quantity,,,4988116,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,98993810,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,1364517634,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,460800,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,8650957,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,23497633,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,2407301,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,9716959,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,158420062,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,33942861,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,92710672,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,206693,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,2989173,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,11668365,0
H4,2013,2013,2013,0,0,2,Export,710,South Africa,ZAF,222,El Salvador,SLV,TOTAL,All Commodities,1,No Quantity,,,2074874,0
