Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,103461277073,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,256841,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,604596,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,10,Antarctica,ATA,TOTAL,All Commodities,1,No Quantity,,,516,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,4329396,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,16,American Samoa,ASM,TOTAL,All Commodities,1,No Quantity,,,42833,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,30037,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1960887327,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,340051,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,1799,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,732560038,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,1336920017,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,653436078,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,12357914,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,197890458,0
H4,2013,2013,2013,0,0,1,Import,710,South Africa,ZAF,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,70052579,0
