Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1578001361900,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,1410349503,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,74396759,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,1824399895,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,5548399,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,1450128860,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,145025910,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,378363260,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,10200769811,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,26035278593,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,3528259364,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,3725410069,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,1017944752,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,711944161,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,92961651,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,452213037,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,31720276112,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,534604396,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,2351165,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,932364092,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,38448747,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,82117028,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,44115969370,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,241020265,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,86,Br. Indian Ocean Terr.,IOT,TOTAL,All Commodities,1,No Quantity,,,762058,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,90,Solomon Isds,SLB,TOTAL,All Commodities,1,No Quantity,,,8928489,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,92,Br. Virgin Isds,VGB,TOTAL,All Commodities,1,No Quantity,,,312764392,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,96,Brunei Darussalam,BRN,TOTAL,All Commodities,1,No Quantity,,,558447546,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,100,Bulgaria,BGR,TOTAL,All Commodities,1,No Quantity,,,312556404,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,104,Myanmar,MMR,TOTAL,All Commodities,1,No Quantity,,,145572934,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,108,Burundi,BDI,TOTAL,All Commodities,1,No Quantity,,,16736290,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,112,Belarus,BLR,TOTAL,All Commodities,1,No Quantity,,,95017815,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,116,Cambodia,KHM,TOTAL,All Commodities,1,No Quantity,,,241042046,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,120,Cameroon,CMR,TOTAL,All Commodities,1,No Quantity,,,331404150,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,124,Canada,CAN,TOTAL,All Commodities,1,No Quantity,,,300175625112,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,132,Cabo Verde,CPV,TOTAL,All Commodities,1,No Quantity,,,9134274,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,136,Cayman Isds,CYM,TOTAL,All Commodities,1,No Quantity,,,681728865,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,140,Central African Rep.,CAF,TOTAL,All Commodities,1,No Quantity,,,4103350,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,144,Sri Lanka,LKA,TOTAL,All Commodities,1,No Quantity,,,313542869,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,148,Chad,TCD,TOTAL,All Commodities,1,No Quantity,,,40880009,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,152,Chile,CHL,TOTAL,All Commodities,1,No Quantity,,,17584659522,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,156,China,CHN,TOTAL,All Commodities,1,No Quantity,,,122016244727,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,162,Christmas Isds,CXR,TOTAL,All Commodities,1,No Quantity,,,667263,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,166,Cocos Isds,CCK,TOTAL,All Commodities,1,No Quantity,,,22169095,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,170,Colombia,COL,TOTAL,All Commodities,1,No Quantity,,,18606321100,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,174,Comoros,COM,TOTAL,All Commodities,1,No Quantity,,,3536114,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,175,Mayotte,MYT,TOTAL,All Commodities,1,No Quantity,,,8470220,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,178,Congo,COG,TOTAL,All Commodities,1,No Quantity,,,225234190,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,180,Dem. Rep. of the Congo,COD,TOTAL,All Commodities,1,No Quantity,,,169392404,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,184,Cook Isds,COK,TOTAL,All Commodities,1,No Quantity,,,4869141,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,188,Costa Rica,CRI,TOTAL,All Commodities,1,No Quantity,,,7230212721,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,191,Croatia,HRV,TOTAL,All Commodities,1,No Quantity,,,308435448,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,192,Cuba,CUB,TOTAL,All Commodities,1,No Quantity,,,358217032,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,196,Cyprus,CYP,TOTAL,All Commodities,1,No Quantity,,,143187713,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,203,Czech Rep.,CZE,TOTAL,All Commodities,1,No Quantity,,,1944017756,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,204,Benin,BEN,TOTAL,All Commodities,1,No Quantity,,,607424142,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,208,Denmark,DNK,TOTAL,All Commodities,1,No Quantity,,,2231384263,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,212,Dominica,DMA,TOTAL,All Commodities,1,No Quantity,,,77680443,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,214,Dominican Rep.,DOM,TOTAL,All Commodities,1,No Quantity,,,7196119354,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,218,Ecuador,ECU,TOTAL,All Commodities,1,No Quantity,,,7313315605,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,222,El Salvador,SLV,TOTAL,All Commodities,1,No Quantity,,,3155603384,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,226,Equatorial Guinea,GNQ,TOTAL,All Commodities,1,No Quantity,,,755669901,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,231,Ethiopia,ETH,TOTAL,All Commodities,1,No Quantity,,,678087723,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,232,Eritrea,ERI,TOTAL,All Commodities,1,No Quantity,,,11107656,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,233,Estonia,EST,TOTAL,All Commodities,1,No Quantity,,,293443552,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,234,Faeroe Isds,FRO,TOTAL,All Commodities,1,No Quantity,,,2453563,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,238,Falkland Isds (Malvinas),FLK,TOTAL,All Commodities,1,No Quantity,,,1241492,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,242,Fiji,FJI,TOTAL,All Commodities,1,No Quantity,,,66928858,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,246,Finland,FIN,TOTAL,All Commodities,1,No Quantity,,,2356542980,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,251,France,FRA,TOTAL,All Commodities,1,No Quantity,,,34090599158,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,258,French Polynesia,PYF,TOTAL,All Commodities,1,No Quantity,,,126145489,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,260,Fr. South Antarctic Terr.,ATF,TOTAL,All Commodities,1,No Quantity,,,1749592,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,262,Djibouti,DJI,TOTAL,All Commodities,1,No Quantity,,,169647285,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,266,Gabon,GAB,TOTAL,All Commodities,1,No Quantity,,,236788111,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,268,Georgia,GEO,TOTAL,All Commodities,1,No Quantity,,,599161745,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,270,Gambia,GMB,TOTAL,All Commodities,1,No Quantity,,,35400221,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,275,State of Palestine,PSE,TOTAL,All Commodities,1,No Quantity,,,958891,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,276,Germany,DEU,TOTAL,All Commodities,1,No Quantity,,,46944882324,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,288,Ghana,GHA,TOTAL,All Commodities,1,No Quantity,,,1067477063,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,292,Gibraltar,GIB,TOTAL,All Commodities,1,No Quantity,,,3981286307,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,296,Kiribati,KIR,TOTAL,All Commodities,1,No Quantity,,,6978415,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,300,Greece,GRC,TOTAL,All Commodities,1,No Quantity,,,736954934,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,304,Greenland,GRL,TOTAL,All Commodities,1,No Quantity,,,20044804,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,308,Grenada,GRD,TOTAL,All Commodities,1,No Quantity,,,95316224,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,320,Guatemala,GTM,TOTAL,All Commodities,1,No Quantity,,,5522483418,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,324,Guinea,GIN,TOTAL,All Commodities,1,No Quantity,,,79530460,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,328,Guyana,GUY,TOTAL,All Commodities,1,No Quantity,,,317791260,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,332,Haiti,HTI,TOTAL,All Commodities,1,No Quantity,,,1233351717,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,334,Heard Island and McDonald Islands,HMD,TOTAL,All Commodities,1,No Quantity,,,504268,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,336,Holy See (Vatican City State),VAT,TOTAL,All Commodities,1,No Quantity,,,2463856,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,340,Honduras,HND,TOTAL,All Commodities,1,No Quantity,,,5277795100,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,TOTAL,All Commodities,1,No Quantity,,,42431219305,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,348,Hungary,HUN,TOTAL,All Commodities,1,No Quantity,,,1733228393,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,352,Iceland,ISL,TOTAL,All Commodities,1,No Quantity,,,514570363,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,360,Indonesia,IDN,TOTAL,All Commodities,1,No Quantity,,,9088498083,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,364,Iran,IRN,TOTAL,All Commodities,1,No Quantity,,,313250314,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,368,Iraq,IRQ,TOTAL,All Commodities,1,No Quantity,,,2026449920,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,372,Ireland,IRL,TOTAL,All Commodities,1,No Quantity,,,6622201000,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,376,Israel,ISR,TOTAL,All Commodities,1,No Quantity,,,13737949571,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,381,Italy,ITA,TOTAL,All Commodities,1,No Quantity,,,16511652904,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,384,Côte d'Ivoire,CIV,TOTAL,All Commodities,1,No Quantity,,,168448641,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,388,Jamaica,JAM,TOTAL,All Commodities,1,No Quantity,,,1989527439,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,392,Japan,JPN,TOTAL,All Commodities,1,No Quantity,,,65142508224,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,398,Kazakhstan,KAZ,TOTAL,All Commodities,1,No Quantity,,,1095682686,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,400,Jordan,JOR,TOTAL,All Commodities,1,No Quantity,,,2087176524,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,404,Kenya,KEN,TOTAL,All Commodities,1,No Quantity,,,651408190,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,408,Dem. People's Rep. of Korea,PRK,TOTAL,All Commodities,1,No Quantity,,,6582817,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,TOTAL,All Commodities,1,No Quantity,,,41554498111,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,414,Kuwait,KWT,TOTAL,All Commodities,1,No Quantity,,,2594182440,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,417,Kyrgyzstan,KGZ,TOTAL,All Commodities,1,No Quantity,,,106092204,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,418,Lao People's Dem. Rep.,LAO,TOTAL,All Commodities,1,No Quantity,,,24702318,0
H4,2013,2013,2013,0,0,2,Export,842,USA,USA,422,Lebanon,LBN,TOTAL,All Commodities,1,No Quantity,,,1032634353,0
