Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2328328632805,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,4,Afghanistan,AFG,TOTAL,All Commodities,1,No Quantity,,,40762763,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,8,Albania,ALB,TOTAL,All Commodities,1,No Quantity,,,23679261,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,12,Algeria,DZA,TOTAL,All Commodities,1,No Quantity,,,4960483203,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,20,Andorra,AND,TOTAL,All Commodities,1,No Quantity,,,1430021,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,24,Angola,AGO,TOTAL,All Commodities,1,No Quantity,,,8924982057,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,28,Antigua and Barbuda,ATG,TOTAL,All Commodities,1,No Quantity,,,9858866,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,31,Azerbaijan,AZE,TOTAL,All Commodities,1,No Quantity,,,1166461256,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,32,Argentina,ARG,TOTAL,All Commodities,1,No Quantity,,,4877249011,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,36,Australia,AUS,TOTAL,All Commodities,1,No Quantity,,,9208180241,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,40,Austria,AUT,TOTAL,All Commodities,1,No Quantity,,,9962470684,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,44,Bahamas,BHS,TOTAL,All Commodities,1,No Quantity,,,619919911,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,48,Bahrain,BHR,TOTAL,All Commodities,1,No Quantity,,,665853241,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,50,Bangladesh,BGD,TOTAL,All Commodities,1,No Quantity,,,5594091343,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,51,Armenia,ARM,TOTAL,All Commodities,1,No Quantity,,,106608004,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,52,Barbados,BRB,TOTAL,All Commodities,1,No Quantity,,,57545898,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,56,Belgium,BEL,TOTAL,All Commodities,1,No Quantity,,,19425195466,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,60,Bermuda,BMU,TOTAL,All Commodities,1,No Quantity,,,61304884,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,64,Bhutan,BTN,TOTAL,All Commodities,1,No Quantity,,,571837,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,68,Bolivia (Plurinational State of),BOL,TOTAL,All Commodities,1,No Quantity,,,1298296063,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,70,Bosnia Herzegovina,BIH,TOTAL,All Commodities,1,No Quantity,,,59475018,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,72,Botswana,BWA,TOTAL,All Commodities,1,No Quantity,,,283994201,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,76,Brazil,BRA,TOTAL,All Commodities,1,No Quantity,,,28612649772,0
H4,2013,2013,2013,0,0,1,Import,842,USA,USA,84,Belize,BLZ,TOTAL,All Commodities,1,No Quantity,,,133851911,0
