Afghanistan,34.53,69.17
Albania,41.33,19.82
Algeria,36.75,3.04
American Samoa,-14.28,-170.70
Andorra,42.51,1.52
Angola,-8.84,13.23
Anguilla,18.22,-63.06
Antigua and Barbuda,17.12,-61.85
Argentina,-34.61,-58.38
Armenia,40.18,44.51
Aruba,12.52,-70.03
Australia,-35.28,149.13
Austria,48.21,16.37
Azerbaijan,40.38,49.89
Bahamas,25.06,-77.34
Bahrain,26.22,50.58
Bangladesh,23.71,90.41
Barbados,13.10,-59.62
Belarus,53.90,27.57
Belgium,50.85,4.35
Belize,17.25,-88.77
Benin,6.50,2.60
Bermuda,32.29,-64.78
Bhutan,27.47,89.64
Bolivia,-19.03,-65.26
Bosnia and Herzegovina,43.85,18.36
Botswana,-24.65,25.91
Brazil,-15.78,-47.93
British Indian Ocean Territory,72.46,7.24
British Virgin Islands,18.42,-64.62
Brunei,4.94,114.95
Bulgaria,42.70,23.32
Burkina Faso,12.37,-1.53
Burundi,-3.38,29.36
Cambodia,11.56,104.92
Cameroon,3.87,11.52
Canada,45.41,-75.70
Cape Verde,14.93,-23.51
Cayman Islands,19.29,-81.37
Central African Republic,4.36,18.55
Chad,12.11,15.04
Chile,-33.46,-70.65
China,39.91,116.40
Christmas Island,-10.42,105.68
Cocos Islands,-12.16,96.82
Colombia,4.61,-74.08
Comoros,-11.70,43.26
Cook Islands,-21.21,-159.78
Costa Rica,9.93,-84.08
Croatia,45.81,15.98
Cuba,23.13,-82.38
Cyprus,35.17,33.37
Czech Republic,50.09,14.42
Democratic Republic of the Congo,-4.32,15.31
Denmark,55.68,12.57
Djibouti,11.59,43.15
Dominica,15.30,-61.39
Dominican Republic,18.50,-69.99
East Timor,-8.56,125.57
Ecuador,-0.23,-78.52
Egypt,30.06,31.25
El Salvador,13.69,-89.19
Equatorial Guinea,3.75,8.78
Eritrea,15.33,38.93
Estonia,59.44,24.75
Ethiopia,9.02,38.75
Falkland Islands,-51.70,-57.85
Faroe Islands,62.01,-6.77
Fiji,-18.14,178.44
Finland,60.17,24.94
France,48.85,2.35
French Guiana,4.93,-52.33
French Polynesia,-17.53,-149.57
Gabon,0.39,9.45
Gambia,13.45,-16.58
Georgia,41.69,44.83
Germany,52.52,13.41
Ghana,5.56,-0.20
Gibraltar,36.14,-5.35
Greece,37.98,23.72
Greenland,64.18,-51.72
Grenada,12.06,-61.75
Guadeloupe,16.00,-61.73
Guam,13.48,144.75
Guatemala,14.64,-90.51
Guernsey,49.46,-2.54
Guinea,9.54,-13.68
Guinea-Bissau,11.86,-15.60
Guyana,6.80,-58.16
Haiti,18.54,-72.34
Honduras,14.08,-87.21
Hong Kong,22.29,114.16
Hungary,47.50,19.04
Iceland,64.14,-21.90
India,28.64,77.22
Indonesia,-6.21,106.85
Iran,35.69,51.42
Iraq,33.34,44.40
Ireland,53.33,-6.25
Isle of Man,54.15,-4.48
Israel,35.23,31.77
Italy,41.89,12.48
Ivory Coast,6.82,-5.28
Jamaica,18.00,-76.79
Japan,35.69,139.69
Jersey,49.19,-2.10
Jordan,31.96,35.95
Kazakhstan,51.18,71.45
Kenya,-1.28,36.82
Kiribati,1.33,172.98
Kosovo,42.67,21.17
Kuwait,29.37,47.98
Kyrgyzstan,42.87,74.59
Laos,17.97,102.60
Latvia,56.95,24.11
Lebanon,33.89,35.49
Lesotho,-29.32,27.48
Liberia,6.30,-10.80
Libya,32.88,13.19
Liechtenstein,47.14,9.52
Lithuania,54.69,25.28
Luxembourg,49.61,6.13
Macao,22.20,113.55
Macedonia,42.00,21.43
Madagascar,-18.91,47.54
Malawi,-13.97,33.79
Malaysia,3.14,101.69
Maldives,4.17,73.51
Mali,12.65,-8.00
Malta,35.90,14.51
Marshall Islands,7.09,171.38
Martinique,14.61,-61.07
Mauritania,18.09,-15.98
Mauritius,-20.16,57.50
Mayotte,-12.78,45.23
Mexico,19.43,-99.13
Micronesia,6.92,158.16
Moldova,47.01,28.86
Monaco,43.73,7.42
Mongolia,47.91,106.88
Montenegro,42.44,19.26
Montserrat,16.71,-62.21
Morocco,34.01,-6.83
Mozambique,-25.97,32.58
Myanmar,19.75,96.13
Namibia,-22.56,17.08
Nauru,166.93,-0.54
Nepal,27.70,85.32
Netherlands,52.37,4.89
Netherlands Antilles,-68.92,12.10
New Caledonia,-22.28,166.46
New Zealand,-41.29,174.78
Nicaragua,12.13,-86.25
Niger,13.51,2.11
Nigeria,9.07,7.48
Niue,-19.06,-169.92
Norfolk Island,-29.05,167.97
North Korea,39.03,125.75
Northern Mariana Islands,15.21,145.75
Norway,59.91,10.75
Oman,23.61,58.59
Pakistan,33.72,73.04
Palau,7.50,134.62
Palestinian Territory,35.23,31.77
Panama,8.99,-79.52
Papua New Guinea,-9.44,147.18
Paraguay,-25.30,-57.64
Peru,-12.04,-77.03
Philippines,14.60,120.98
Pitcairn,-25.07,-130.10
Poland,52.23,21.01
Portugal,38.72,-9.13
Puerto Rico,18.47,-66.11
Qatar,25.28,51.52
Republic of the Congo,-4.27,15.28
Reunion,-20.88,55.45
Romania,44.43,26.11
Russia,55.75,37.62
Rwanda,-1.95,30.06
Saint Barthélemy,17.90,-62.85
Saint Helena,-15.94,-5.72
Saint Kitts and Nevis,17.29,-62.73
Saint Lucia,14.00,-61.01
Saint Martin,18.07,-63.08
Saint Pierre and Miquelon,46.78,-56.17
Saint Vincent and the Grenadines,13.16,-61.22
Samoa,-13.83,-171.77
San Marino,43.94,12.45
Sao Tome and Principe,0.34,6.73
Saudi Arabia,24.69,46.72
