Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,0,0,2,Export,8,Albania,ALB,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1967918947,0
H4,2012,2012,2012,0,0,2,Export,12,Algeria,DZA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,71865748994,0
H4,2012,2012,2012,0,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,23827186078,0
H4,2012,2012,2012,0,0,2,Export,32,Argentina,ARG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,80927108315,0
H4,2012,2012,2012,0,0,2,Export,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,256242912988,0
H4,2012,2012,2012,0,0,2,Export,40,Austria,AUT,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,158820954065,0
H4,2012,2012,2012,0,0,2,Export,56,Belgium,BEL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,446854421188,0
H4,2012,2012,2012,0,0,2,Export,60,Bermuda,BMU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,9624203,0
H4,2012,2012,2012,0,0,2,Export,68,Bolivia (Plurinational State of),BOL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,11793371859,0
H4,2012,2012,2012,0,0,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5161808996,0
H4,2012,2012,2012,0,0,2,Export,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,242579775763,0
H4,2012,2012,2012,0,0,2,Export,100,Bulgaria,BGR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,26698780088,0
H4,2012,2012,2012,0,0,2,Export,112,Belarus,BLR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,46059935000,0
H4,2012,2012,2012,0,0,2,Export,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,453380895263,0
H4,2012,2012,2012,0,0,2,Export,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,78276982607,0
H4,2012,2012,2012,0,0,2,Export,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2048782233084,0
H4,2012,2012,2012,0,0,2,Export,170,Colombia,COL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,60273618168,0
H4,2012,2012,2012,0,0,2,Export,188,Costa Rica,CRI,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,11250803893,0
H4,2012,2012,2012,0,0,2,Export,191,Croatia,HRV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,12368983411,0
H4,2012,2012,2012,0,0,2,Export,196,Cyprus,CYP,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1826017361,0
H4,2012,2012,2012,0,0,2,Export,203,Czech Rep.,CZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,156422742613,0
H4,2012,2012,2012,0,0,2,Export,208,Denmark,DNK,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,106125965893,0
H4,2012,2012,2012,0,0,2,Export,214,Dominican Rep.,DOM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,6902480706,0
H4,2012,2012,2012,0,0,2,Export,222,El Salvador,SLV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5339088393,0
H4,2012,2012,2012,0,0,2,Export,233,Estonia,EST,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,18157456244,0
H4,2012,2012,2012,0,0,2,Export,242,Fiji,FJI,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1220602428,0
H4,2012,2012,2012,0,0,2,Export,246,Finland,FIN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,72974489144,0
H4,2012,2012,2012,0,0,2,Export,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,556575681954,0
H4,2012,2012,2012,0,0,2,Export,258,French Polynesia,PYF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,139032342,0
H4,2012,2012,2012,0,0,2,Export,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2377453985,0
H4,2012,2012,2012,0,0,2,Export,276,Germany,DEU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1416184199213,0
H4,2012,2012,2012,0,0,2,Export,300,Greece,GRC,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,35179710395,0
H4,2012,2012,2012,0,0,2,Export,304,Greenland,GRL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,476937328,0
H4,2012,2012,2012,0,0,2,Export,320,Guatemala,GTM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10124554728,0
H4,2012,2012,2012,0,0,2,Export,340,Honduras,HND,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5006939699,0
H4,2012,2012,2012,0,0,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,492907471544,0
H4,2012,2012,2012,0,0,2,Export,348,Hungary,HUN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,103006014000,0
H4,2012,2012,2012,0,0,2,Export,352,Iceland,ISL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5063441687,0
H4,2012,2012,2012,0,0,2,Export,360,Indonesia,IDN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,190031839234,0
H4,2012,2012,2012,0,0,2,Export,372,Ireland,IRL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,117769694867,0
H4,2012,2012,2012,0,0,2,Export,376,Israel,ISR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,63140632000,0
H4,2012,2012,2012,0,0,2,Export,381,Italy,ITA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,501528850943,0
H4,2012,2012,2012,0,0,2,Export,392,Japan,JPN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,798567587570,0
H4,2012,2012,2012,0,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,92281520630,0
H4,2012,2012,2012,0,0,2,Export,400,Jordan,JOR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,7877135557,0
H4,2012,2012,2012,0,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,547854447999,0
H4,2012,2012,2012,0,0,2,Export,422,Lebanon,LBN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4446163434,0
H4,2012,2012,2012,0,0,2,Export,428,Latvia,LVA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,12685521524,0
H4,2012,2012,2012,0,0,2,Export,440,Lithuania,LTU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,29652662128,0
H4,2012,2012,2012,0,0,2,Export,442,Luxembourg,LUX,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,13747545897,0
H4,2012,2012,2012,0,0,2,Export,446,"China, Macao SAR",MAC,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1020521467,0
H4,2012,2012,2012,0,0,2,Export,450,Madagascar,MDG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1224513561,0
H4,2012,2012,2012,0,0,2,Export,462,Maldives,MDV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,161606754,0
H4,2012,2012,2012,0,0,2,Export,470,Malta,MLT,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,5646270198,0
