Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,0,0,1,Import,8,Albania,ALB,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4879829648,0
H4,2012,2012,2012,0,0,1,Import,12,Algeria,DZA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,50369390586,0
H4,2012,2012,2012,0,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,9641723771,0
H4,2012,2012,2012,0,0,1,Import,32,Argentina,ARG,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,68507490489,0
H4,2012,2012,2012,0,0,1,Import,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,250464794398,0
H4,2012,2012,2012,0,0,1,Import,40,Austria,AUT,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,169663240578,0
H4,2012,2012,2012,0,0,1,Import,56,Belgium,BEL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,437882665741,0
H4,2012,2012,2012,0,0,1,Import,60,Bermuda,BMU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,866904652,0
H4,2012,2012,2012,0,0,1,Import,68,Bolivia (Plurinational State of),BOL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,8281037244,0
H4,2012,2012,2012,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10019077121,0
H4,2012,2012,2012,0,0,1,Import,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,223149128347,0
H4,2012,2012,2012,0,0,1,Import,100,Bulgaria,BGR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,32743133695,0
H4,2012,2012,2012,0,0,1,Import,112,Belarus,BLR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,46404389200,0
H4,2012,2012,2012,0,0,1,Import,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,462369244562,0
H4,2012,2012,2012,0,0,1,Import,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,79461529006,0
H4,2012,2012,2012,0,0,1,Import,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1818199227571,0
H4,2012,2012,2012,0,0,1,Import,170,Colombia,COL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,58087854461,0
H4,2012,2012,2012,0,0,1,Import,188,Costa Rica,CRI,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,18355992786,0
H4,2012,2012,2012,0,0,1,Import,191,Croatia,HRV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,20834262292,0
H4,2012,2012,2012,0,0,1,Import,196,Cyprus,CYP,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,7376933504,0
H4,2012,2012,2012,0,0,1,Import,203,Czech Rep.,CZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,139726823793,0
H4,2012,2012,2012,0,0,1,Import,208,Denmark,DNK,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,92296840060,0
H4,2012,2012,2012,0,0,1,Import,214,Dominican Rep.,DOM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,19200466024,0
H4,2012,2012,2012,0,0,1,Import,222,El Salvador,SLV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10269626606,0
H4,2012,2012,2012,0,0,1,Import,233,Estonia,EST,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,19750324256,0
H4,2012,2012,2012,0,0,1,Import,242,Fiji,FJI,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,2252597634,0
