Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2013,2013,2013,0,0,1,Import,8,Albania,ALB,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4880593254,0
H4,2013,2013,2013,0,0,1,Import,12,Algeria,DZA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,54909973274,0
H4,2013,2013,2013,0,0,1,Import,36,Australia,AUS,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,232481271344,0
H4,2013,2013,2013,0,0,1,Import,51,Armenia,ARM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,4256217854,0
H4,2013,2013,2013,0,0,1,Import,56,Belgium,BEL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,488442091068,0
H4,2013,2013,2013,0,0,1,Import,60,Bermuda,BMU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,994572258,0
H4,2013,2013,2013,0,0,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10294929805,0
H4,2013,2013,2013,0,0,1,Import,76,Brazil,BRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,239620904905,0
H4,2013,2013,2013,0,0,1,Import,112,Belarus,BLR,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,42947570300,0
H4,2013,2013,2013,0,0,1,Import,124,Canada,CAN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,461799508840,0
H4,2013,2013,2013,0,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,726366551,0
H4,2013,2013,2013,0,0,1,Import,152,Chile,CHL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,79616352757,0
H4,2013,2013,2013,0,0,1,Import,156,China,CHN,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1949992314705,0
H4,2013,2013,2013,0,0,1,Import,170,Colombia,COL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,59381196537,0
H4,2013,2013,2013,0,0,1,Import,188,Costa Rica,CRI,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,18126861127,0
H4,2013,2013,2013,0,0,1,Import,191,Croatia,HRV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,20953444368,0
H4,2013,2013,2013,0,0,1,Import,196,Cyprus,CYP,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,6391800340,0
H4,2013,2013,2013,0,0,1,Import,203,Czech Rep.,CZE,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,141990572739,0
H4,2013,2013,2013,0,0,1,Import,218,Ecuador,ECU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,27064498727,0
H4,2013,2013,2013,0,0,1,Import,222,El Salvador,SLV,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10771952672,0
H4,2013,2013,2013,0,0,1,Import,233,Estonia,EST,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,19881514188,0
H4,2013,2013,2013,0,0,1,Import,251,France,FRA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,668658052796,0
H4,2013,2013,2013,0,0,1,Import,258,French Polynesia,PYF,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1814846584,0
H4,2013,2013,2013,0,0,1,Import,268,Georgia,GEO,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,7873967907,0
H4,2013,2013,2013,0,0,1,Import,276,Germany,DEU,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,1194482625229,0
H4,2013,2013,2013,0,0,1,Import,288,Ghana,GHA,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,10018227387,0
H4,2013,2013,2013,0,0,1,Import,300,Greece,GRC,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,61151139013,0
H4,2013,2013,2013,0,0,1,Import,304,Greenland,GRL,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,822141072,0
H4,2013,2013,2013,0,0,1,Import,320,Guatemala,GTM,0,World,WLD,TOTAL,All Commodities,1,No Quantity,,,17503977537,0
